Id,mrkdwn,da_true,ds_true,de_true,other_true
0,"Коллеги, привет!
Банк ДОМ.РФ в подразделение машинного обучения и продвинутой аналитики ищет стажеров по направлению Computer Vision.
Город: Москва;
Вакансия: стажер;

Рабочие решения уже есть, в большинстве случаев можно будет заниматься доработкой/улучшением текущего пайплайна.
Примеры решаемых в подразделении задач:
 • распознавание текста;
 • анализ скана методами компьютерного зрения (сколько и каких страниц документа приложено к скану, где они размещены и т.п.);
 • выявление признаков подделки документа (сверка печатей, расчет расстояний между различными элементами документа и т.п.);
 • face verification (сверка лица в паспорте с лицом на фото в офисе);
 • speaker verification/identification;

Требования:
 • высшее/неоконченное высшее образование;
 • знание Python;
 • опыт работы с основными библиотеками ML/CV (NumPy, Pandas, OpenCV и др.);
 • начальные знания TensorFlow/Keras/PyTorch (последний предпочтительнее);
 • опыт работы с основными задачами компьютерного зрения - Object Detection, Semantic Segmentation и т.д.;

Будет плюсом:
 • знание классического CV;
 • пройденные курсы по DL/CV (<http://dlcourse.ai|dlcourse.ai>, cs231n и др.);
 • опыт работы с аудио/обработкой сигналов;

Вилка - 50 т.р. gross за полный рабочий день (40 часов в неделю), оплата пропорционально фактически отработанному времени.
В настоящий момент работа проходит удаленно, но рано или поздно переберемся обратно в офис (будет дресс-код).
Резюме можно присылать на <mailto:sergei.genza@domrf.ru|sergei.genza@domrf.ru>, вопросы/уточнения в личку.",0,1,0,0
1,"Привет! В :x5:  ищем аналитика данных в команду бизнес-аналитики. Задачи - построение витрин и отчётности на hive /pyspark, а также визуализация (используем :tableau: )
Ищем тех, кто:
 - знает python (pyspark, pandas, numpy)
 - знает sql (join'ы, оконные функции). В основном работаем в Hive и Greenplum
 - сталкивался с tableau или другими BI или готов быстро погрузиться в процесс.
 - знание airflow как плюс

Вилка - 100-150к. Москва, WeWork на Парке Культуры с бесплатным :beer:  после 17:00 (после выхода в офис)
Писать в tg legonastya (нанимающий менеджер) или мне в DM или tg: grmmr",1,0,0,0
2,"Всем привет!
К нам в стартап нужен CV специалист на полставки
*Company:* HalbeStunde (:germanyparrot: Berlin-based)
*Job Title:* Junior/Middle CV Engineer
*Salary:* 1000euro (part-time, 20h/w)
*Duration:* 1-2months
*Location:* Remote
*Product:* Мы делаем ассистента для учащихся музыкальных школ, который помогает упростить домашнюю практику и ускорить feedback-loop с преподавателем.
Use-case: делаешь фото страниц с нотами -&gt; Слушаешь как произведение звучит -&gt; Записываешь свою игру и приложение детектит ошибки.
Пока начали с поддержки фортепиано. Приложение пока доступно на ios в Германии но готовится глобальный релиз и Андроид версия
Будем внедряться в муз. школы, есть план и контакты по выходу на китайский рынок.
Long-term vision: муз образовательная платформы

*Задачи:* есть MVP который делает наспознование нот с фото, нужно его улучшить. придется в том числе и повозиться с классическими CV подходами и opencv
Ожидания: имеется опыт в CV в виде работы/kaggle/petprojects. знакомство с opencv тоже плюс

задача на 1-2 месяца. к концу года планируем решить вопрос с финансированием и посему возможен переход на full-time (вилка будет 2000-3500) с потенциальным релокейтом в Берлин через год)

Я в компании технический кофаундер - буду всячески помогать и брать часть работ на себя

Пишите мне в лс или в тред. Спасибо

P.S. да, так как мы еще на ранней стадии, то и не исключен вариант что через 2 месяца придется поставить все на паузу пока не разрулим с баблом - бюрократия и все такое. Спасибо за понимание",0,1,0,0
3,"Привет всем! :ods:

В департамент по рискам и внутреннему контролю ищем BI аналитика для построение дашбордов и автоматизации аналитической отчетности

*Куда*: :x5:
*Город*: :default-city:  (пока удаленно)
*Вакансия*: BI аналитик
:fork: : 120k-150k

*Обязанности*:
• Формирование управленческих отчетов и дашбордов в :tableau:
• Автоматизация процессов извлечения данных из первичных источников + обработка и формирование конечных отчетов 
• Анализ бизнес показателей 
• Организация мониторинга процессов внутреннего контроля и анализ их эффективности

*Требования*:
• Владение :tableau:  (желательно опыт работы от года)
• Высшее экономическое/математическое/техническое образование
• Знание :sql: (используем :postgresql: , Hive)
• Понимание основ статистики и финансовых показателей
*Будет плюсом*:
• Опыт работы с :python: :spark:  (Для извлечения данных)

*Условия работы*:
• Договор ГПХ до 31.03.2021 (с возможностью прологнации)
• Скидки во всех наших торговых сетях

*Контакты:*
• Резюме на <mailto:M.Yurchenko@x5.ru|M.Yurchenko@x5.ru> с темой “BI аналитик” 
• Вопросы задавать мне :telegram: : mv_yurchenko или в личку <@UCM3C939U>",1,0,0,0
4,"Всем привет! У нас в классной команде Яндекса вакансия открылась, поэтому рассказываем. Пишите мне тут или в телеграмм (:telegram:Sergeyyy)

:hourglass_flowing_sand:*Коротко про вакансию:*
Мы делаем поисковые рекомендации - запросы на выдаче, которые помогают пользователям решить их задачи (а не только ответить на конкретный запрос). Ищем аналитика-разработчика, который поможет глобально улучшить наши источники интересных и полезных запросов.
• :yandex_llc: Яндекс
• :moscow: Москва, парк культуры (но можно и СПб)
• :widefork: 130-230к+ net, сайнап, опционы и премии
:mag: *Что за поисковые рекомендации?*
Пользователь заходит в поиск узнать погоду, кликает на сайт, возвращается на выдачу и тут его встречают поисковые рекомендации: [какой сайт прогноза погоды самый точный], [... по моему местоположению], [как одеться по погоде] и т.д.
Их задача помочь не только с конкретным запросом, но и с глобальной задачей в целом. Они позволяют уточнить, переформулировать или расширить запрос, найти что-то интересное по теме или узнать что-то новое. Мы занимаемся рекомендациями уже два года. Перед нами стоит глобальная задача — сделать рекомендации максимально полезными для пользователей. Для этого мы разрабатываем новые виды метрик, улучшаем ML, внедряем новые источники и форматы взаимодействия с ними.
Подробнее про устройство рекомендаций вы можете почитать в нашем посте, правда с того времени мы успели уйти далеко вперед:
<http://habr.com/ru/company/yandex/blog/488428/|habr.com/ru/company/yandex/blog/488428/>

:do-it:*Что нужно делать:*
• понять какими параметрами обладает классный поисковый запрос для рекомендации, отразить это в метриках и идеях для улучшения;
• развивать процессы сбора базы рекомендаций, внедрять свои идеи;
• помочь команде разработки улучшить алгоритмы ранжирования (например с помощью классных фичей про источник).
:expert: *Мы ждем, что вы:*
• имеете опыт продуктовой аналитики или разработки от двух лет;
• умеете работать с данными на Python;
• хорошо знаете и любите математику, не забыли матстат
• живете в Москве или Санкт-Петербурге (или готовы к релокации).
:feelsgoodmeme: *Будет плюсом:*
• опыт работы с текстовыми данными;
• внедренные в прод ML-кейсы;
• опыт построения и разработки продуктовых метрик.
:moneyparrot: *Что предлагаем:*
• до конца года работаем удаленно по желанию. А вообще с достаточно свободным графиком в классном офисе (Красная Роза);
• ДМС, питание;
• вилка для миддла 130-230к+ net, премии и опционы за классные внедрения каждое полугодие (в какой-то момент вестинг начинает добавлять значимый кусок к доходу);
• сайнапы, помощь в релокации.",1,0,0,0
5,"Шалом, :ods:
Ищем в нашу R&amp;D команду *Middle*/*Senior* специалиста что бы двигать :sota: в *TTS* :likeaboss:

Компания *Just AI*, гор. *Санкт-Петербург*.
:mosmetro: Уютненький офис на м. Чкаловская (Сейас работаем удаленно :palm_tree: )

Название вакансии: *ML Research Engineer* (*TTS*)
Вилка: :fork:  *Middle* 120-200 т.р. net, *Senior* 200-300 т.р. net
Мы ищем инженеров в нашу растущую команду R&amp;D по направлению синтеза речи.

*Задачи*:
- Развитие и поддержка существующих продуктов, связанных с синтезом голоса.
- Проведение экспериментов, реализация прототипов и, в случае необходимости, доведение их до состояния продуктового MVP.
- Чтение статей и имплементация потенциально полезных подходов. Участие в профессиональном развитии младших коллег.
- Взаимодействие с командами разработки, способствующее превращению MVP в продукт.

*Мы ожидаем*:
- Сильные навыки программирования на :python: , умение писать тесты на ds-компоненты и приложения, понимание дизайна и структуры ds-проекта.
- Сильные навыки имплементации, обучения и дебага нейросетевых моделей на :pytorch1-0:.
- Опыт решения задач Text to speech, а также смежных (Voice cloning / Voice transfer) в рамках рабочих (возможно - учебных) проектов и глубокое понимание теоретических основ для решения описанных выше задач.
- Умение работать с информацией: черпать идеи для улучшения продуктов :sota: из различных источников (статьи, реализации, собстенный опыт / идеи), проработать, заимплементировать и объяснить коллегам.
- Теоретические знания, достаточные для предыдущих пунктов.

*Будет плюсом*:
- Опыт оптимизации инференса нейронных сетей в терминах затрачиваемых вычислительных ресурсов и времени.
- Опыт в организации взаимодействия «исследовательских» (R&amp;D) команд и команд продуктовой разработки.
- Понимание NLP-домена.

*Контакты*:
Задать вопрос и прислать резюме можно мне (:ods: /:telegram: <@UJ8BXBM36>)",0,1,0,0
6,"Добрый вечер всем! Знакомые ищут лида, который возглавит ML направление в <http://optimumsoftware.ai|optimumsoftware.ai>

Вакансия Team lead DS
Вилка: 300-400k net
Новый офис в центре: м. Станция 1905г (2 мин. пешком)


Мы создаем сервис по автоматическому анализу музыки в стелс режиме.   
У нас сильные компетенции и обширные связи в музыкальной индустрии, есть команда разработчиков и сейчас мы готовы привлечь в нашу команду сильных специалистов по DS/ML, чтобы стартовать с нуля направление, сделать прототип и проверить его работоспособность. Если ты тимлид DS команды или Senior+, который готов стать тимлидом, будем рады пообщаться.

Какие задачи стоят:
 Работа со звуком, текстом и рекомендациями
 Выстраивание современной инфраструктуры и внедрение лучших практик для дальнейшего развития направления
 Менторинг, развитие и контроль других DS специалистов, участие в найме
 Сбор и обработка данных разной модальностей (текст, звук, табличные данные) 
 Постановка задачи анализа данных и/или машинного обучения на основе бизнес-задачи
 Создание прототипа
 Взаимодействие со смежными командами аналитиков и разработчиков
 Поиск новых технологий и методов, отслеживание трендов и внедрение их в рабочий процесс и проекты

От будущего коллеги ожидаем:
 Python-гуру и фанат машинного обучения 
 Опыт менторства нескольких джунов + код ревью, либо опыт работы полноценным тимлидом DS команды из 2+ человек
 Опыт работы со звуком, понимание DSP; не проблема взять современную статью и заимплементить ее на pytorch / tf
 Опыт с NLP системами, знание современных архитектур
 Фундаментальные знания в области математики, теории вероятности, мат. статистики 
 Умение подбирать алгоритм под конкретную бизнес задачу, оценить ограничения подхода, доходчиво донести свое решение заказчику
 Самостоятельность и инициативность, способность находить пути решения нетривиальных проблем, а для легких задач умение обходиться без стрельбы из GANов по воробьям
 Может написать SQL запрос среднего уровня
 Имеет опыт с лайт продакшеном, может обернуть модельку в докер и задизайнить API 
 Умение выстраивать процессы: приоритизация задач, оценка их сложности и качества реализации

Будет круто, но не обязательно:
 Общее представление о предметной области (аккорды, композиция, гармония, ноты)
 Опыт построения рекомендательных систем: классические методы на разложениях матриц, современные алгоритмы с DL внутри
 Успешный опыт в соревнованиях по машинному обучению 

Мы предлагаем:
 горизонтальная структура и возможность влиять на конечный продукт
 быстрое время внедрения от задумки до релиза
 свобода в выборе технологий, главное - результат
 сложные и необычные задачи (некоторые из задач решаются всего в нескольких компаниях в мире);

Условия:
 зарплата с возможностью получения премий и бонусов; 
 адекватное позитивное руководство (все с техническим или исследовательским бекграундом) и хороший коллектив.
 формат работы: офис или удаленно
Пишите в личку или 
    email: <mailto:Pavlova@optimumsoftware.ai|Pavlova@optimumsoftware.ai>
    telegram: @patrrrri",0,1,0,0
7,"Всем привет!

Мы ищем в :sber_new: *AR/VR/CV Лабораторию Сбера* CV/DL developer/researcher, Senior/Middle уровня. Лаборатория занимается только R&amp;D проектами и проводит запуски MVP для подтверждения или опровержения гипотез. Мы не занимаемся RUN деятельностью.

*Стек по CV/ML:* TensorFlow, PyTorch, MXNet, OpenCV, Dlib, ONNX

*Приветствуется опыт:*
• с 3D в компьютерном зрении (определение позы объектов, позиции камеры, SLAM, VIO, оценка глубины, трекинг лиц)
• решения задач компьютерного зрения на ARM процессорах
• CoreML, Android NN API
• разработки на С/С++
• 
Проекты лаборатории связаны с дополненной реальностью, которая подкрепляется возможностями компьютерного зрения. Проектов много, все они нацелены на практическое применение мобильных AR решений под iOS/Android и встраиваемые системы собственной разработки.

*Предстоит делать:*
• Разрабатывать и адаптировать алгоритмы компьютерного зрения для мобильных и встраиваемых систем, используя TensorRT, TF Lite, CoreML, ML Kit 
• Разрабатывать и адаптировать сети для работы с мобильными аппаратными ускорителями - NPU(AmLogic), TPU
• Разрабатывать прототипы приложений с дополненной реальностью с CV (DL/ML) 
• Исследовать и улучшать state-of-the-art решения в области neural rendering, speech driven animation, virtual makeup, depth estimation.
_*Условия:*_

*Вилка 300 000 - 500 000* рублей гросс в месяц + несколько зп как годовой бонус Крутая команда разработчиков AR, VR и CV с большим количеством реализованных проектов.

Тренажерный зал в офисе этажом ниже Оплата посещения конференций уровня CVPR с командировками, спортивных соревнований, научная литература, подписок на периодику и прочее
Расположение: Москва, Оружейный переулок 41

Резюме направляйте мне на _<mailto:max.kozlov@sber.ru|max.kozlov@sber.ru>_",0,1,0,0
8,"Всем привет! 
Ищу к себе в команду научного сотрудника для работы с технологиями распознавания речи. У нас несколько команд занимаются ASR, наша команда_ _работает на стыке научных исследований и продакшн-разработки: мы и ставим эксперименты (Python), и пишем код в прод (C++). 

*Компания:* Центр речевых технологий
*Город:* Санкт-Петербург (метро Выборгская)
*Вакансия*: Научный сотрудник (распознавание речи)
*Вилка:* 150-250К (гросс, в месяц)

*Ключевые задачи:*
• Разработка алгоритмов и моделей распознавания речи (обучение акустических моделей, работа с языковыми моделями, создание и модификация алгоритмов декодирования, рескоринга) 
• Проведение экспериментальных исследований, написание научных статей.
• Создание и сопровождение программных компонентов 
*Требования*
• Знания и опыт в ML и статистике
• Deep Learning: базовые принципы, обучение моделей
• Опыт работы с фреймворками DL (Pytorch, Tensorflow)
• Знание классических алгоритмов (динамическое программирование, графы)
• Уверенное знание Python 
• Опыт реализации моделей, описанных в научных статьях. 
• Уровень английского, позволяющий свободно понимать научные статьи
*Будет большим плюсом:*
• знания и опыт программирования на C++ (11/14/17 стандарт, базовые алгоритмы, STL, CMake)
• опыт работы с распознаванием речи, синтезом или NLP
*Условия*
ДМС со стоматологией, корпоративное обучение, курсы английского, предоставляется релокационный пакет. 
Формат работы: сейчас мы работаем удаленно, но хотели бы чтобы сотрудник физически имел возможность подойти/ приехать в наш офис в СПб при необходимости

По всем вопросам пишите мне в личку, резюме присылайте на <mailto:urbanovich@speechpro.com|urbanovich@speechpro.com> (Екатерина Урбанович)",0,1,0,0
9,"Друзья, мы, компания *Shanghai Microelectronics Equipment (Shanghai)*, ищем ML-Инженера или Data-Инженера.
*Предметная область* -- анализ изображений с электронного микроскопа и поиск дефектов.
Данных терабайты, *изображения высокого разрешения*, есть видеокарты NVidia, но мало понимания, как и что делать.
Сейчас система работает на эвристиках и анализе сигналов. Надо впилить туда машинлёрнинг.
Место -- *Шанхай*, визу сделаем.
*Зарплата* -- 25-50к юаней. (примерно 250-500 тысяч рублей)
*Экспатская медстраховка.* Компенсация части аренды за квартиру.
*Переезд обязателен*.
Сайт компании (не очень осмысленный): <http://www.smee.com.cn/eis.pub?service=homepageService&amp;method=selectlang&amp;setlang=EN&amp;showform=portal/index_en.ftl>

Из неформальных плюсов -- локдаун закончился, экономика растёт. Шанс выучить язык будущего гегемона. Билет до Саньи, Токио или Сеула дешёвый.
Из минусов -- ну, не индоевропейский язык, получить гражданство трудно. Жильё дорого покупать.

Писать в личку, либо на <mailto:wladimir.nikishkin@gmail.com|wladimir.nikishkin@gmail.com>",0,1,1,0
